Alewife,263,184
Davis,301,184
Porter Square,354,192
Harvard Square,388,227
Central Square,417,256
Kendall/MIT,453,291
Charles/MGH,485,321
Park Street,507,344
Downtown Crossing,537,375
South Station,574,413
Broadway,579,455
Andrew,583,488
JFK/UMass,582,526
Savin Hill,560,550
Fields Corner,539,580
Shawmut,539,604
Ashmont,539,628
Cedar Grove,539,661
Butler,524,676
Milton,501,676
Central Avenue,473,676
Valley Road,449,676
Capen Street,423,676
Mattapan,400,679
North Quincy,660,664
Wollaston,690,696
Quincy Center,723,727
Quincy Adams,752,757
Braintree,763,828
Oak Grove,539,78
Malden Center,540,107
Wellington,539,137
Sullivan Square,539,175
Community College,540,208
North Station,544,250
Haymarket,570,288
State,567,341
Downtown Crossing,539,379
Chinatown,509,402
New England Medical Center,490,423
Back Bay,474,438
Massachusetts Avenue,459,453
Ruggles,443,472
Roxbury Crossing,427,487
Jackson Square,414,500
Stony Brook,397,517
Green Street,380,534
Forest Hills,361,551
Lechmere,489,211
Science Park,520,242
North Station,535,257
Haymarket,557,287
Government Center,536,314
Park Street,506,346
Boylston,485,368
Arlington,459,378
Copley,435,378
Hynes Convention Center,411,380
Kenmore,387,379
Blandford Street,375,362
Boston University East,368,357
Boston University Central,357,348
Boston University West,353,340
St. Paul Street (1),339,333
Pleasant Street,329,329
Babcock Street,314,327
Packards Corner,300,329
Harvard Avenue,280,331
Griggs Street/Long Avenue,267,341
Allston Street,265,343
Warren Street,262,349
Washington Street,259,353
Sutherland Street,253,358
Chiswick Road,248,361
Chestnut Hill Avenue,239,366
South Street,228,362
Boston College,213,350
St. Marys Street,348,379
Hawes Street,340,378
Kent Street,333,378
St. Paul Street (2),323,377
Coolidge Corner,313,378
Summit Avenue,307,378
Brandon Hall,302,378
Fairbanks,296,379
Washington Square,288,377
Tappan Street,280,377
Dean Road,269,380
Englewood Avenue,260,382
Cleveland Circle,244,381
Fenway,350,395
Longwood,328,413
Brookline Village,312,431
Brookline Hills,275,431
Beaconsfield,248,412
Reservoir,227,389
Chestnut Hill,206,385
Newton Center,186,387
Newton Highlands,161,383
Eliot,143,383
Waban,120,384
Woodland,100,381
Riverside,74,381
Prudential,411,420
Symphony,403,429
Northeastern University,395,435
Museum of Fine Arts,391,442
Longwood Medical Area,382,447
Brigham Circle,376,454
Fenwood Street,371,458
Mission Park,366,465
Riverway,363,475
Back of the Hill,364,481
Heath Street,362,494
Wonderland,814,98
Revere Beach,789,125
Beachmont,763,148
Suffolk Downs,742,171
Orient Heights,719,195
Wood Island,696,220
Airport,673,239
Maverick,650,267
Aquarium,598,314
State,570,345
Government Center,538,315
Bowdoin,512,295
